13.4694,
13.88,
13.5625,
14.1837,
15.0204,
14.0612,
13.4,
13.24,
13.3265,
14.2449,
13.0408,
13.4,
13.94,
16.2708,
17.9,
16.4082,
15,
14.3878,
14.84,
14.3,
15.551,
16.551,
15.4082,
16.04,
14.8367,
15.38,
15.1458,
15.3673,
15.551,
15.56,
