10.26,
10.3469,
10.7755,
10.76,
10.34,
11.12,
10.54,
10.72,
11.1429,
10.4286,
13.0612,
10.58,
11.1224,
10.0816,
10.6,
10.98,
10.5102,
10.86,
11.102,
10.38,
10.7347,
11.92,
11.9184,
10.875,
11.96,
11.58,
11.76,
11.9184,
12.0204,
11.76,
