14,
13.0204,
13.5306,
12.6531,
13.26,
13.2857,
12.7755,
12.9592,
12.68,
12.4694,
12.5306,
12.7,
13.3265,
12.92,
13.6939,
13.4286,
13.38,
13.2,
13.88,
13.0417,
13.74,
13.5714,
13.1429,
13.7551,
13.7959,
13.7551,
13.92,
13.5918,
13.54,
13.2857,
