10.82,
8.92,
8.55102,
9.02041,
9.06,
9.58,
9.30612,
9.06,
9.08163,
8.78,
8.40816,
9.42,
9.40816,
10.5102,
9.82,
11.0204,
10.1633,
11.5102,
9.76,
10.5,
9.87755,
11,
10.5,
9.44,
9.64,
9.96,
9.7,
10,
11.6122,
10.7347,
